Metric,C1,C2,C3,C4,C5,C6,C6vsC5,Trend
Win Rate,50.6,52.0,64.0,57.0,64.5,59.0,-5.5,-
Beat SPY,29.1,20.0,22.0,29.0,26.5,29.0,2.5,+
Avg Return,11.98,2.4,5.11,5.55,5.6,5.84,0.24,+
Med Return,0.09,0.32,4.93,4.04,4.52,6.06,1.54,+
Avg DD,-27.38,-14.83,-15.46,-17.03,-16.26,-17.13,-0.87,+
Avg Vol,32.42,15.15,17.05,18.49,17.68,18.4,0.72,-
Avg Alpha,-2.14,-9.17,-5.46,-4.49,-5.68,-4.78,0.9,+
Cash Drag,15.5,3.8,4.0,7.1,4.1,5.25,1.15,-
DD<-30%,35.0,2.0,3.0,5.0,3.5,4.5,1.0,-
Avg Stocks,7.6,8.4,8.5,9.0,9.3,9.66,0.36,+
