Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
ABEV,Ambev S.A. ADR,Consumer Defensive,Beverages - Brewers,Brazil,40380000000.0,14.45,2.59,0.0,4540966.0
BCE,BCE Inc,Communication Services,Telecom Services,Canada,22450000000.0,5.02,24.08,-0.0026,592163.0
EIX,Edison International,Utilities,Utilities - Regulated Electric,USA,23750000000.0,8.08,61.71,-0.0109,953039.0
EPD,Enterprise Products Partners L P,Energy,Oil & Gas Midstream,USA,71330000000.0,12.48,32.97,0.0022,709872.0
ITUB,Itau Unibanco Holding S.A. ADR,Financial,Banks - Regional,Brazil,41180000000.0,11.01,7.46,0.0109,5707347.0
JBS,JBS N.V,Consumer Defensive,Packaged Foods,Netherlands,16030000000.000002,9.87,15.01,0.022799999999999997,933181.0
MPLX,MPLX LP,Energy,Oil & Gas Midstream,USA,57850000000.0,12.06,56.88,0.0053,228546.0
PBR,Petroleo Brasileiro S.A. Petrobras ADR,Energy,Oil & Gas Integrated,Brazil,47980000000.0,6.02,12.9,0.016200000000000003,3076087.0
PBR-A,Petroleo Brasileiro S.A. Petrobras ADR,Energy,Oil & Gas Integrated,Brazil,32960000000.0,5.65,12.1,0.013000000000000001,3039225.0
UPS,"United Parcel Service, Inc",Industrials,Integrated Freight & Logistics,USA,90590000000.0,16.5,106.78,-0.0012,1121383.0
WES,Western Midstream Partners LP,Energy,Oil & Gas Midstream,USA,16829999999.999998,12.2,41.24,-0.0088,268222.0
